tract_geoid,month_start,y_incidents_12m,predicted_next_30d,risk_score,lag_1m_count,rolling_mean_3m,rolling_mean_12m,total_pop_acs,median_hh_income_acs
17031836400,2025-12-01,463.0,34.678509104705746,49.3,34.0,33.333333333333336,38.166666666666664,3783,24764
17031836500,2025-12-01,185.0,12.916922186863047,18.4,13.0,17.333333333333332,16.5,1522,30944
17031836600,2025-12-01,549.0,36.71850175264539,52.2,33.0,44.333333333333336,48.5,2275,80763
17031836700,2025-12-01,600.0,41.02555274548442,58.3,34.0,49.333333333333336,50.333333333333336,2507,51434
17031836800,2025-12-01,417.0,30.921555769348004,44.0,34.0,37.666666666666664,34.75,2635,19453
17031836900,2025-12-01,242.0,16.27356423455857,23.1,22.0,20.333333333333332,20.083333333333332,1994,25650
17031837000,2025-12-01,336.0,22.93755587123474,32.6,31.0,31.0,28.5,1843,41023
17031837100,2025-12-01,287.0,19.246055585743402,27.4,22.0,26.666666666666668,24.583333333333332,1515,48880
17031837300,2025-12-01,407.0,27.94317583729957,39.7,37.0,37.333333333333336,34.5,2515,18949
17031837400,2025-12-01,476.0,33.83836354820913,48.1,32.0,43.666666666666664,38.666666666666664,2186,51250
17031837800,2025-12-01,684.0,50.23897322380071,71.4,48.0,55.0,56.666666666666664,2875,58681
17031838000,2025-12-01,503.0,35.521728978595206,50.5,35.0,40.333333333333336,42.416666666666664,2671,26673
17031838100,2025-12-01,476.0,35.17294895313977,50.0,38.0,40.0,39.0,1501,26000
17031838200,2025-12-01,492.0,35.72096857900085,50.8,38.0,47.333333333333336,41.833333333333336,1834,83929
17031838300,2025-12-01,269.0,16.656623293283342,23.7,18.0,25.333333333333332,23.166666666666668,2483,112381
17031838600,2025-12-01,270.0,19.765091718746785,28.1,23.0,24.0,21.25,1518,18537
17031838700,2025-12-01,915.0,70.90438416962765,100.0,77.0,73.0,76.58333333333333,3737,21834
17031838800,2025-12-01,638.0,43.47370051362069,61.8,47.0,54.333333333333336,55.416666666666664,3225,29120
17031839000,2025-12-01,996.0,67.93977711425798,96.6,72.0,82.0,84.08333333333333,10190,110306
17031839100,2025-12-01,3433.0,235.38339154601903,100.0,259.0,279.3333333333333,288.5833333333333,8227,122978
17031839200,2025-12-01,478.0,39.07411543073981,55.6,43.0,43.0,39.0,2375,43090
17031839500,2025-12-01,225.0,15.289920563608707,21.7,15.0,19.333333333333332,18.333333333333332,1804,-666666666
17031839600,2025-12-01,296.0,22.36911404480354,31.8,22.0,27.666666666666668,23.333333333333332,1965,65062
17031839700,2025-12-01,202.0,12.7081062381854,18.1,11.0,18.0,16.75,4753,83498
17031839800,2025-12-01,165.0,11.300140132647794,16.1,15.0,15.0,13.833333333333334,2662,77560
17031839900,2025-12-01,287.0,18.581371516116967,26.4,20.0,22.333333333333332,24.25,4558,100217
17031840000,2025-12-01,103.0,7.303850727626456,10.4,9.0,9.333333333333334,8.666666666666666,2651,105481
17031840100,2025-12-01,127.0,9.14161071877607,13.0,6.0,10.666666666666666,10.666666666666666,2880,66765
17031840200,2025-12-01,205.0,13.263270355760833,18.9,14.0,18.333333333333332,17.166666666666668,2198,41359
17031840300,2025-12-01,231.0,14.763025538914984,21.0,19.0,17.333333333333332,19.166666666666668,3646,65909
17031840400,2025-12-01,332.0,26.129821486100933,37.2,18.0,29.0,27.583333333333332,3434,71667
17031840700,2025-12-01,465.0,32.28258261464102,45.9,36.0,39.333333333333336,39.0,3930,97727
17031840800,2025-12-01,164.0,10.844793612657373,15.4,10.0,13.666666666666666,13.833333333333334,3258,45326
17031841000,2025-12-01,557.0,40.43780766021585,57.5,28.0,42.333333333333336,47.0,1148,103750
17031841100,2025-12-01,559.0,43.38735031743183,61.7,66.0,50.0,45.333333333333336,6990,48542
17031841200,2025-12-01,236.0,17.253294194878396,24.5,25.0,25.333333333333332,19.916666666666668,4414,60498
17031841300,2025-12-01,267.0,18.9406468338487,26.9,31.0,26.333333333333332,23.333333333333332,4317,79744
17031841500,2025-12-01,592.0,38.523504149469076,54.8,41.0,43.333333333333336,51.166666666666664,1909,26950
17031841700,2025-12-01,202.0,14.035571069126783,20.0,15.0,20.0,16.583333333333332,1137,24663
17031841800,2025-12-01,455.0,32.38702666742213,46.1,44.0,40.666666666666664,39.5,2330,45294
17031841900,2025-12-01,1283.0,82.56099440518067,100.0,85.0,109.66666666666667,111.41666666666667,5983,131803
17031842000,2025-12-01,224.0,15.440084310672773,22.0,24.0,19.666666666666668,18.583333333333332,2794,116875
17031842100,2025-12-01,633.0,46.071667932907864,65.5,56.0,52.333333333333336,51.75,7110,50907
17031842200,2025-12-01,1032.0,83.29549760351718,100.0,91.0,94.33333333333333,84.33333333333333,3602,102036
17031842300,2025-12-01,731.0,48.05795872155412,68.3,38.0,68.33333333333333,62.916666666666664,3672,167407
17031842400,2025-12-01,964.0,67.12379571729447,95.4,57.0,76.0,81.16666666666667,3207,72616
17031842500,2025-12-01,365.0,24.107588830602317,34.3,29.0,31.0,30.916666666666668,2449,27955
17031842600,2025-12-01,482.0,38.97803838394693,55.4,44.0,45.0,40.5,4540,90521
17031842800,2025-12-01,491.0,35.923028490661565,51.1,37.0,43.666666666666664,41.25,6069,49020
17031842900,2025-12-01,689.0,47.242365394807834,67.2,60.0,67.66666666666667,59.583333333333336,3216,19304
17031843000,2025-12-01,903.0,60.63516135154458,86.2,64.0,73.0,75.91666666666667,2399,23587
17031843100,2025-12-01,296.0,18.922802164214456,26.9,22.0,26.333333333333332,25.166666666666668,1564,46659
